x,y,class
1.452,3.065,1
1.734,1.88,1
1.089,2.321,1
2.03,2.679,1
1.546,3.781,1
2.446,4.497,1
3.226,3.726,1
3.844,3.45,1
4.973,3.175,1
6.062,3.147,1
6.882,2.707,1
7.997,2.679,1
9.53,3.12,1
9.987,3.203,1
10.793,3.258,1
12.527,3.258,1
13.132,3.23,1
14.274,3.368,1
14.583,4.442,1
14.879,5.571,1
15.067,6.921,1
14.946,8.546,1
14.798,9.62,1
14.395,11.879,1
14.315,13.972,1
14.274,16.396,1
14.261,17.415,1
14.382,18.489,1
14.718,17.36,1
14.503,16.644,1
13.952,16.038,1
13.817,17.608,1
14.946,16.699,1
13.831,14.606,1
15.43,14.716,1
14.933,15.625,1
14.328,15.46,1
14.812,14.22,1
15.202,13.008,1
14.207,12.678,1
14.046,13.366,1
15.0,13.173,1
14.476,12.898,1
14.409,10.86,1
15.632,11.245,1
15.739,12.044,1
15.565,13.642,1
15.847,14.688,1
15.887,16.148,1
15.309,17.746,1
15.054,18.572,1
15.565,16.782,1
15.484,16.644,1
15.874,15.129,1
15.403,16.011,1
14.96,17.498,1
16.237,17.828,1
15.618,18.545,1
15.685,17.167,1
16.183,16.837,1
16.358,14.606,1
16.438,11.769,1
16.237,12.815,1
16.022,13.669,1
15.591,12.843,1
15.161,11.906,1
14.153,11.879,1
15.027,13.532,1
15.43,14.0,1
14.261,14.688,1
13.696,15.763,1
14.247,11.025,1
15.349,11.245,1
14.946,10.695,1
14.879,11.466,1
15.336,10.942,1
14.731,11.19,1
15.565,9.235,1
16.035,8.904,1
13.844,8.959,1
14.758,10.006,1
14.126,9.841,1
14.556,10.226,1
14.852,9.262,1
14.422,9.014,1
15.228,9.923,1
15.699,9.951,1
16.425,10.309,1
16.384,11.025,1
15.766,10.612,1
14.852,7.747,1
14.167,6.921,1
15.444,7.196,1
16.559,7.362,1
16.223,7.913,1
14.933,7.968,1
14.422,7.913,1
14.597,6.783,1
15.618,6.205,1
16.223,6.122,1
14.113,6.04,1
14.906,5.379,1
15.578,5.158,1
15.685,4.883,1
14.382,5.984,1
14.409,5.131,1
14.288,4.359,1
13.656,6.012,1
13.844,5.158,1
13.992,4.167,1
14.422,1.743,1
13.589,1.605,1
13.091,2.128,1
13.145,3.753,1
13.105,4.855,1
12.849,5.571,1
12.231,5.516,1
12.177,4.497,1
12.339,3.506,1
12.366,2.541,1
12.325,2.073,1
1.022,5.048,1
0.927,3.753,1
1.102,4.194,1
1.801,5.351,1
1.465,4.828,1
1.841,3.726,1
2.352,2.955,1
2.218,4.717,1
2.796,4.58,1
3.589,4.47,1
4.086,4.332,1
5.121,4.497,1
6.048,4.332,1
6.734,4.139,1
7.809,4.442,1
8.253,4.497,1
9.059,4.552,1
9.758,4.552,1
