x,y,class
1.532,7.389,1
1.72,8.188,1
2.231,8.656,1
2.917,8.822,1
3.548,9.014,1
4.274,9.014,1
4.718,8.794,1
5.081,7.913,1
5.336,6.921,1
5.403,5.847,1
5.228,5.406,1
4.785,4.745,1
4.315,4.304,1
3.79,4.167,1
3.199,4.773,1
2.836,5.186,1
2.379,5.654,1
2.03,6.067,1
1.815,6.48,1
1.626,7.141,1
10.578,16.561,1
9.906,15.597,1
9.409,13.972,1
9.382,10.915,1
10.228,8.877,1
11.882,7.83,1
12.903,9.014,1
12.554,10.667,1
12.164,12.044,1
11.801,13.366,1
11.586,15.046,1
11.263,16.589,1
10.645,14.33,1
10.188,13.173,1
11.183,12.898,1
10.296,11.521,1
11.438,11.466,1
10.995,10.336,1
12.043,9.951,1
11.425,8.822,1
11.653,10.309,1
12.097,11.273,1
11.64,12.65,1
10.954,11.576,1
10.82,13.229,1
11.653,14.881,1
11.035,15.294,1
11.344,13.972,1
10.054,14.303,1
9.798,12.457,1
9.906,10.998,1
10.618,9.317,1
1.882,7.362,1
2.177,8.078,1
2.137,7.499,1
2.272,7.031,1
2.285,6.618,1
2.608,6.177,1
2.957,5.709,1
3.185,5.406,1
3.427,5.186,1
3.804,4.883,1
4.207,4.773,1
4.664,4.938,1
4.852,5.213,1
5.0,5.847,1
4.96,6.315,1
4.825,6.756,1
4.704,7.362,1
4.556,8.023,1
4.422,8.298,1
4.005,8.408,1
3.508,8.298,1
3.185,8.436,1
2.796,8.519,1
2.621,8.188,1
2.433,7.913,1
2.957,7.747,1
3.589,7.885,1
3.858,7.747,1
4.099,7.665,1
4.234,7.389,1
4.059,6.838,1
3.71,6.893,1
3.226,6.921,1
2.688,6.976,1
2.527,7.224,1
3.024,7.637,1
3.683,7.61,1
3.374,7.555,1
3.293,6.976,1
3.091,6.563,1
3.065,6.535,1
3.387,6.232,1
3.616,6.04,1
3.696,5.406,1
4.086,5.544,1
4.18,6.04,1
4.556,6.398,1
4.664,6.177,1
4.624,5.819,1
4.234,5.296,1
4.691,5.241,1
4.489,5.544,1
4.395,6.04,1
4.368,6.563,1
4.462,7.059,1
4.624,7.362,1
5.067,7.362,1
5.188,6.398,1
3.817,6.453,1
4.059,6.535,1
3.911,6.976,1
3.414,6.838,1
3.763,6.48,1
3.36,6.783,1
2.957,7.169,1
2.782,7.802,1
3.118,8.133,1
2.769,8.629,1
2.675,8.739,1
2.594,8.711,1
2.46,8.574,1
2.352,8.353,1
2.218,7.995,1
1.962,8.271,1
1.72,7.995,1
1.68,7.61,1
1.989,7.665,1
2.204,6.893,1
2.137,6.535,1
2.056,6.728,1
1.761,6.921,1
2.164,6.343,1
2.46,5.819,1
2.93,6.453,1
2.5,6.535,1
2.863,6.15,1
2.984,5.957,1
3.159,5.874,1
3.401,5.571,1
3.696,5.158,1
3.817,4.552,1
3.548,4.304,1
3.374,4.552,1
2.93,4.828,1
2.876,4.993,1
2.581,5.516,1
2.769,6.343,1
2.849,7.141,1
2.621,7.334,1
2.285,7.362,1
2.715,7.885,1
3.32,8.408,1
3.656,7.472,1
3.36,7.885,1
3.737,7.499,1
3.925,6.893,1
3.938,6.232,1
3.925,5.847,1
3.911,5.599,1
3.952,5.131,1
4.032,4.828,1
4.032,4.497,1
4.14,4.414,1
4.543,4.855,1
4.745,5.902,1
4.61,7.086,1
4.462,7.527,1
4.409,7.94,1
4.113,8.243,1
4.019,8.463,1
3.575,8.298,1
3.737,8.601,1
3.75,8.739,1
3.226,8.766,1
4.099,9.18,1
4.247,9.069,1
4.61,8.629,1
4.825,8.16,1
4.892,7.857,1
4.987,6.949,1
5.108,6.287,1
5.121,6.012,1
4.664,5.131,1
3.737,4.855,1
3.28,4.993,1
3.145,4.993,1
3.508,4.773,1
3.065,5.158,1
2.648,5.489,1
2.312,6.095,1
2.446,7.417,1
3.051,8.188,1
3.132,8.711,1
4.18,9.125,1
4.368,8.133,1
4.261,7.196,1
3.844,7.059,1
3.454,6.563,1
3.414,7.362,1
3.495,7.334,1
3.051,6.949,1
2.903,7.334,1
2.903,7.499,1
3.239,7.499,1
3.562,6.122,1
3.804,6.012,1
4.745,6.618,1
4.503,7.61,1
4.234,8.271,1
3.562,9.18,1
4.234,8.546,1
3.965,7.802,1
3.723,8.298,1
4.005,7.555,1
4.207,6.398,1
4.194,5.957,1
3.159,6.177,1
3.441,6.425,1
2.917,6.893,1
2.487,7.417,1
2.97,6.508,1
3.36,6.287,1
3.091,5.682,1
2.688,6.04,1
2.5,7.307,1
2.984,7.665,1
1.478,4.965,1
0.914,9.455,1
1.922,11.824,1
5.417,10.915,1
6.962,5.186,1
6.277,2.514,1
4.328,1.467,1
2.487,3.34,1
0.323,1.412,1
0.538,3.671,1
1.371,15.845,1
3.011,15.818,1
3.212,10.86,1
8.145,15.405,1
7.567,12.843,1
10.659,4.938,1
7.903,8.574,1
7.258,8.243,1
9.328,7.031,1
13.468,2.018,1
16.788,4.414,1
15.202,6.48,1
16.358,11.714,1
13.992,12.32,1
14.839,16.286,1
12.097,18.214,1
18.024,18.379,1
18.414,13.449,1
19.207,12.375,1
18.669,16.947,1
18.898,6.893,1
18.992,0.861,1
16.976,1.385,1
14.637,3.726,1
17.406,9.097,1
