x,y,class
7.204,13.614,1
6.694,12.623,1
6.68,11.273,1
6.815,9.648,1
7.231,8.381,1
7.755,7.527,1
8.185,7.252,1
9.126,7.279,1
9.449,7.995,1
9.691,9.896,1
9.556,11.163,1
9.019,12.54,1
8.548,13.394,1
7.997,14.165,1
7.648,13.862,1
7.056,12.843,1
7.231,11.686,1
7.204,10.805,1
7.406,9.648,1
7.648,8.794,1
8.065,8.16,1
8.602,7.94,1
8.858,8.271,1
8.858,9.345,1
8.844,10.144,1
8.602,11.053,1
8.374,11.851,1
7.715,12.292,1
7.352,11.356,1
7.043,10.557,1
6.653,11.824,1
6.976,12.347,1
7.675,12.898,1
7.944,12.953,1
7.997,12.182,1
7.809,10.695,1
7.124,9.51,1
7.769,10.061,1
8.468,10.171,1
8.978,10.006,1
9.288,9.978,1
9.207,11.053,1
8.75,11.879,1
8.306,12.733,1
8.011,13.421,1
8.589,12.457,1
8.911,10.998,1
9.288,9.207,1
9.18,8.298,1
8.952,7.417,1
8.199,7.362,1
7.5,7.995,1
8.723,7.086,1
8.427,7.472,1
8.28,8.766,1
7.97,9.455,1
8.548,9.538,1
8.777,9.235,1
8.642,8.601,1
8.401,8.987,1
8.038,10.281,1
8.065,10.75,1
8.266,10.75,1
8.051,11.19,1
7.782,11.576,1
7.513,10.667,1
7.366,9.868,1
7.003,10.033,1
7.177,10.033,1
6.882,11.025,1
7.164,11.576,1
7.056,11.851,1
7.325,12.237,1
7.352,12.678,1
7.433,13.284,1
7.876,13.835,1
7.567,12.32,1
7.634,11.659,1
7.634,10.529,1
7.608,9.18,1
7.258,9.097,1
7.083,9.069,1
6.747,10.199,1
6.72,10.639,1
7.984,9.29,1
8.266,9.675,1
8.065,8.959,1
7.836,8.519,1
7.769,8.188,1
8.065,7.665,1
8.481,8.298,1
8.347,8.16,1
8.965,8.877,1
9.476,8.849,1
9.57,9.455,1
9.449,10.336,1
9.409,10.97,1
9.301,11.741,1
9.032,12.347,1
8.616,12.981,1
8.118,13.614,1
7.944,11.879,1
8.266,12.017,1
8.239,11.273,1
8.602,11.19,1
8.898,11.383,1
8.616,11.576,1
9.032,11.714,1
8.226,9.896,1
8.522,10.474,1
8.858,10.667,1
9.288,10.474,1
8.602,10.116,1
8.75,9.73,1
9.019,9.73,1
9.113,8.849,1
9.315,8.436,1
8.965,7.637,1
8.401,7.334,1
5.753,13.476,1
6.613,15.708,1
9.005,16.864,1
10.524,17.222,1
12.823,17.608,1
15.228,17.718,1
12.137,14.881,1
14.503,15.68,1
16.438,16.258,1
17.823,16.699,1
18.387,18.076,1
17.097,18.324,1
15.551,18.737,1
14.099,18.875,1
2.406,18.352,1
1.035,18.434,1
0.376,15.019,1
1.438,16.369,1
0.726,16.809,1
0.941,12.953,1
2.46,14.551,1
3.32,15.432,1
4.852,17.581,1
4.194,18.131,1
7.245,19.481,1
4.449,13.146,1
4.099,8.932,1
3.185,8.353,1
1.72,9.73,1
3.441,11.163,1
1.411,6.205,1
0.927,3.946,1
0.712,8.216,1
1.841,1.825,1
2.5,4.525,1
4.772,5.929,1
6.116,6.535,1
5.874,8.766,1
5.632,3.01,1
8.266,4.359,1
7.809,5.626,1
7.648,2.927,1
3.132,1.55,1
4.14,3.506,1
10.255,1.247,1
13.575,3.45,1
13.118,6.921,1
11.815,11.08,1
13.79,11.659,1
15.323,12.099,1
17.298,12.76,1
17.661,8.932,1
15.108,8.766,1
10.82,6.37,1
11.398,3.753,1
11.694,7.141,1
10.242,13.421,1
15.565,3.561,1
17.527,4.69,1
15.739,6.287,1
18.495,7.141,1
18.71,12.898,1
19.449,10.529,1
19.153,13.945,1
19.167,16.975,1
19.113,1.991,1
16.478,1.302,1
19.274,4.69,1
14.355,1.274,1
11.573,0.889,1
12.513,1.77,1
12.137,4.387,1
13.091,9.538,1
